# Ecm || delta_mean delta_err || kcotd_mean kcotd_err || ksq ksq_err
0.643542 || 0  0 || 0.000868834  0.000106999 || -0.00722581  0
0.643556 || 0  0 || 0.000867792  0.000106871 || -0.0072213  0
0.64357 || 0  0 || 0.00086675  0.000106743 || -0.00721679  0
0.643584 || 0  0 || 0.000865707  0.000106615 || -0.00721229  0
0.643598 || 0  0 || 0.000864662  0.000106485 || -0.00720778  0
0.643612 || 0  0 || 0.000863617  0.000106356 || -0.00720328  0
0.643626 || 0  0 || 0.00086257  0.000106225 || -0.00719877  0
0.64364 || 0  0 || 0.000861522  0.000106094 || -0.00719427  0
0.643654 || 0  0 || 0.000860474  0.000105963 || -0.00718976  0
0.643668 || 0  0 || 0.000859424  0.000105831 || -0.00718525  0
0.643682 || 0  0 || 0.000858373  0.000105698 || -0.00718075  0
0.643696 || 0  0 || 0.00085732  0.000105565 || -0.00717624  0
0.64371 || 0  0 || 0.000856267  0.000105431 || -0.00717174  0
0.643724 || 0  0 || 0.000855212  0.000105297 || -0.00716723  0
0.643738 || 0  0 || 0.000854157  0.000105162 || -0.00716272  0
0.643752 || 0  0 || 0.0008531  0.000105027 || -0.00715822  0
0.643766 || 0  0 || 0.000852042  0.00010489 || -0.00715371  0
0.64378 || 0  0 || 0.000850983  0.000104754 || -0.0071492  0
0.643794 || 0  0 || 0.000849923  0.000104616 || -0.0071447  0
0.643808 || 0  0 || 0.000848861  0.000104478 || -0.00714019  0
0.643822 || 0  0 || 0.000847799  0.00010434 || -0.00713568  0
0.643836 || 0  0 || 0.000846735  0.0001042 || -0.00713117  0
0.64385 || 0  0 || 0.00084567  0.000104061 || -0.00712667  0
0.643864 || 0  0 || 0.000844604  0.00010392 || -0.00712216  0
0.643878 || 0  0 || 0.000843536  0.000103779 || -0.00711765  0
0.643892 || 0  0 || 0.000842468  0.000103637 || -0.00711314  0
0.643906 || 0  0 || 0.000841398  0.000103495 || -0.00710864  0
0.64392 || 0  0 || 0.000840327  0.000103352 || -0.00710413  0
0.643934 || 0  0 || 0.000839255  0.000103208 || -0.00709962  0
0.643948 || 0  0 || 0.000838182  0.000103064 || -0.00709511  0
0.643962 || 0  0 || 0.000837107  0.000102919 || -0.0070906  0
0.643976 || 0  0 || 0.000836031  0.000102773 || -0.0070861  0
0.64399 || 0  0 || 0.000834954  0.000102627 || -0.00708159  0
0.644004 || 0  0 || 0.000833876  0.00010248 || -0.00707708  0
0.644018 || 0  0 || 0.000832796  0.000102332 || -0.00707257  0
0.644032 || 0  0 || 0.000831715  0.000102184 || -0.00706806  0
0.644046 || 0  0 || 0.000830633  0.000102035 || -0.00706355  0
0.64406 || 0  0 || 0.00082955  0.000101885 || -0.00705904  0
0.644074 || 0  0 || 0.000828465  0.000101735 || -0.00705454  0
